dataset,model,feature,feature_label,repeat,average_precision_decrease
htru2,logistic_regression,profile_mean,Profile mean,0,0.000780640571736
htru2,logistic_regression,profile_mean,Profile mean,1,0.00104788339647
htru2,logistic_regression,profile_mean,Profile mean,2,0.00732121952186
htru2,logistic_regression,profile_mean,Profile mean,3,-0.00212300772006
htru2,logistic_regression,profile_mean,Profile mean,4,0.00354444197772
htru2,logistic_regression,profile_mean,Profile mean,5,0.000754753287259
htru2,logistic_regression,profile_mean,Profile mean,6,-0.000545842495302
htru2,logistic_regression,profile_mean,Profile mean,7,0.00375174822345
htru2,logistic_regression,profile_mean,Profile mean,8,0.00701359774186
htru2,logistic_regression,profile_mean,Profile mean,9,0.00427299021412
htru2,logistic_regression,profile_mean,Profile mean,10,0.00431460559611
htru2,logistic_regression,profile_mean,Profile mean,11,0.00449938402936
htru2,logistic_regression,profile_mean,Profile mean,12,0.0044052707262
htru2,logistic_regression,profile_mean,Profile mean,13,0.0065028831833
htru2,logistic_regression,profile_mean,Profile mean,14,0.00850350255453
htru2,logistic_regression,profile_mean,Profile mean,15,0.000553259324579
htru2,logistic_regression,profile_mean,Profile mean,16,0.00295240410875
htru2,logistic_regression,profile_mean,Profile mean,17,0.00315082020411
htru2,logistic_regression,profile_mean,Profile mean,18,0.00190025142725
htru2,logistic_regression,profile_mean,Profile mean,19,0.00605536722647
htru2,logistic_regression,profile_mean,Profile mean,20,0.00148189114573
htru2,logistic_regression,profile_mean,Profile mean,21,0.00772888264367
htru2,logistic_regression,profile_mean,Profile mean,22,0.00490352539288
htru2,logistic_regression,profile_mean,Profile mean,23,0.0040712301021
htru2,logistic_regression,profile_mean,Profile mean,24,0.00032685590107
htru2,logistic_regression,profile_mean,Profile mean,25,0.00307111314431
htru2,logistic_regression,profile_mean,Profile mean,26,0.0052503671786
htru2,logistic_regression,profile_mean,Profile mean,27,0.00859218644959
htru2,logistic_regression,profile_mean,Profile mean,28,0.00456640845886
htru2,logistic_regression,profile_mean,Profile mean,29,0.00795659679252
htru2,logistic_regression,profile_standard_deviation,Profile standard deviation,0,0.00104415130037
htru2,logistic_regression,profile_standard_deviation,Profile standard deviation,1,-0.00109384279136
htru2,logistic_regression,profile_standard_deviation,Profile standard deviation,2,-0.000202814005268
htru2,logistic_regression,profile_standard_deviation,Profile standard deviation,3,0.00188560218431
htru2,logistic_regression,profile_standard_deviation,Profile standard deviation,4,-0.000151548872355
htru2,logistic_regression,profile_standard_deviation,Profile standard deviation,5,0.00293229731723
htru2,logistic_regression,profile_standard_deviation,Profile standard deviation,6,0.000467445916167
htru2,logistic_regression,profile_standard_deviation,Profile standard deviation,7,0.00129125943612
htru2,logistic_regression,profile_standard_deviation,Profile standard deviation,8,-0.000539573628441
htru2,logistic_regression,profile_standard_deviation,Profile standard deviation,9,-8.64578449796e-05
htru2,logistic_regression,profile_standard_deviation,Profile standard deviation,10,-0.00169061605227
htru2,logistic_regression,profile_standard_deviation,Profile standard deviation,11,-0.000218995966747
htru2,logistic_regression,profile_standard_deviation,Profile standard deviation,12,0.00118358574829
htru2,logistic_regression,profile_standard_deviation,Profile standard deviation,13,0.00066804430365
htru2,logistic_regression,profile_standard_deviation,Profile standard deviation,14,-0.00106715955619
htru2,logistic_regression,profile_standard_deviation,Profile standard deviation,15,-0.000597366106481
htru2,logistic_regression,profile_standard_deviation,Profile standard deviation,16,-0.00121413313328
htru2,logistic_regression,profile_standard_deviation,Profile standard deviation,17,0.00198629545988
htru2,logistic_regression,profile_standard_deviation,Profile standard deviation,18,0.00133351550082
