dataset,model,candidate_index,mean_validation_average_precision,std_validation_average_precision,rank_validation_average_precision,params_json,selected
htru2,logistic_regression,0,0.91154088628,0.0158421694645,5,"{""classifier__C"":0.01}",false
htru2,logistic_regression,1,0.923759019259,0.0151898398519,4,"{""classifier__C"":0.1}",false
htru2,logistic_regression,2,0.928258332237,0.0142832629615,1,"{""classifier__C"":1.0}",true
htru2,logistic_regression,3,0.925646673848,0.013026352815,2,"{""classifier__C"":10.0}",false
htru2,logistic_regression,4,0.925534419461,0.012988319951,3,"{""classifier__C"":100.0}",false
htru2,random_forest,0,0.925821037089,0.0133138845718,8,"{""max_depth"":6,""max_features"":""sqrt"",""min_samples_leaf"":1}",false
htru2,random_forest,1,0.924889395892,0.0121332496979,10,"{""max_depth"":6,""max_features"":""sqrt"",""min_samples_leaf"":5}",false
htru2,random_forest,2,0.928891214195,0.010890441172,4,"{""max_depth"":6,""max_features"":0.75,""min_samples_leaf"":1}",false
htru2,random_forest,3,0.930226781988,0.011383639501,1,"{""max_depth"":6,""max_features"":0.75,""min_samples_leaf"":5}",true
htru2,random_forest,4,0.92909934748,0.012480702381,3,"{""max_depth"":12,""max_features"":""sqrt"",""min_samples_leaf"":1}",false
htru2,random_forest,5,0.928610304537,0.0120646331408,7,"{""max_depth"":12,""max_features"":""sqrt"",""min_samples_leaf"":5}",false
htru2,random_forest,6,0.925181454101,0.0110164519039,9,"{""max_depth"":12,""max_features"":0.75,""min_samples_leaf"":1}",false
htru2,random_forest,7,0.929983158044,0.012576725841,2,"{""max_depth"":12,""max_features"":0.75,""min_samples_leaf"":5}",false
htru2,random_forest,8,0.923465227555,0.011249175815,11,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":1}",false
htru2,random_forest,9,0.928655721621,0.0120210801931,6,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":5}",false
htru2,random_forest,10,0.920005367244,0.0128093993051,12,"{""max_depth"":null,""max_features"":0.75,""min_samples_leaf"":1}",false
htru2,random_forest,11,0.928870027423,0.012873579691,5,"{""max_depth"":null,""max_features"":0.75,""min_samples_leaf"":5}",false
rice,logistic_regression,0,0.975988624582,0.00512361489824,5,"{""classifier__C"":0.01}",false
rice,logistic_regression,1,0.976292122649,0.00527254093084,4,"{""classifier__C"":0.1}",false
rice,logistic_regression,2,0.976372078244,0.00522247093943,3,"{""classifier__C"":1.0}",false
rice,logistic_regression,3,0.976730935599,0.00543720958128,2,"{""classifier__C"":10.0}",false
rice,logistic_regression,4,0.977382713706,0.00529269104299,1,"{""classifier__C"":100.0}",true
rice,random_forest,0,0.974788167017,0.00461717025059,2,"{""max_depth"":6,""max_features"":""sqrt"",""min_samples_leaf"":1}",false
rice,random_forest,1,0.975290047096,0.00474678263936,1,"{""max_depth"":6,""max_features"":""sqrt"",""min_samples_leaf"":5}",true
rice,random_forest,2,0.97415158708,0.00515227753152,6,"{""max_depth"":6,""max_features"":0.75,""min_samples_leaf"":1}",false
rice,random_forest,3,0.974624907545,0.00484579538529,4,"{""max_depth"":6,""max_features"":0.75,""min_samples_leaf"":5}",false
rice,random_forest,4,0.970441499917,0.00522797391675,10,"{""max_depth"":12,""max_features"":""sqrt"",""min_samples_leaf"":1}",false
rice,random_forest,5,0.974719493078,0.00409279068689,3,"{""max_depth"":12,""max_features"":""sqrt"",""min_samples_leaf"":5}",false
rice,random_forest,6,0.96911534677,0.00754854729502,12,"{""max_depth"":12,""max_features"":0.75,""min_samples_leaf"":1}",false
rice,random_forest,7,0.973545240948,0.00423609366825,8,"{""max_depth"":12,""max_features"":0.75,""min_samples_leaf"":5}",false
rice,random_forest,8,0.971623607181,0.0043902201974,9,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":1}",false
rice,random_forest,9,0.974596960012,0.00411415161128,5,"{""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":5}",false
rice,random_forest,10,0.969225126547,0.00664608379469,11,"{""max_depth"":null,""max_features"":0.75,""min_samples_leaf"":1}",false
rice,random_forest,11,0.973610481092,0.00420153244807,7,"{""max_depth"":null,""max_features"":0.75,""min_samples_leaf"":5}",false
