kernel_id,variety_code,variety,PC1,PC2,PC3,PC4,PC5,PC6,PC7
kernel_001,1,Kama,0.317047,0.783669,-0.631010,-0.416846,0.107496,0.022570,-0.014697
kernel_002,1,Kama,-0.003386,1.913214,-0.669754,-0.433071,-0.044406,0.018921,-0.005479
kernel_003,1,Kama,-0.459443,1.907225,0.932489,-0.111292,0.008222,-0.051313,-0.004177
kernel_004,1,Kama,-0.591936,1.931069,0.499311,-0.228977,-0.074853,0.229500,-0.010051
kernel_005,1,Kama,1.102910,2.068090,0.056705,-0.142421,-0.018775,0.052639,-0.000622
kernel_006,1,Kama,-0.336815,1.636916,0.438913,-0.098189,0.006180,-0.022215,-0.008781
kernel_007,1,Kama,-0.145602,0.436415,0.301945,-0.112315,0.072079,-0.059857,-0.024917
kernel_008,1,Kama,-0.425440,1.390153,0.401288,-0.069178,0.050502,0.084806,-0.007270
kernel_009,1,Kama,1.767184,0.307529,-0.968166,0.238217,0.140403,0.097146,-0.029849
kernel_010,1,Kama,1.441194,1.011068,-0.383042,0.005999,0.103647,0.062820,-0.008249
kernel_011,1,Kama,0.067111,-0.429312,0.325293,-0.361564,0.122706,-0.155794,-0.025745
kernel_012,1,Kama,-0.572683,1.558244,-0.421773,-0.134792,0.017770,-0.020614,-0.008232
kernel_013,1,Kama,-0.931415,0.873926,0.948782,-0.545860,0.283670,-0.055138,0.015738
kernel_014,1,Kama,-0.914883,0.871940,0.135350,-0.447313,0.186772,-0.013532,0.005893
kernel_015,1,Kama,-1.008361,0.958530,-0.002094,-0.507601,0.232571,-0.072924,0.014039
kernel_016,1,Kama,-0.515522,1.058726,1.435487,-0.452272,0.036090,-0.124220,-0.002405
kernel_017,1,Kama,-0.784531,1.141977,2.573488,0.005157,-0.031844,-0.049784,-0.013197
kernel_018,1,Kama,0.679029,2.170362,0.329858,-0.147206,-0.053693,0.006959,0.001399
kernel_019,1,Kama,-0.234417,2.787794,0.975678,-0.268730,-0.182285,-0.033019,-0.001629
kernel_020,1,Kama,-1.737672,0.340141,0.432500,-0.151753,-0.068601,-0.000038,-0.008383
kernel_021,1,Kama,-0.561483,0.158660,-0.607274,-0.386677,0.140587,-0.000688,-0.018772
kernel_022,1,Kama,-0.477524,0.704747,-0.336818,-0.000985,0.051178,-0.028947,-0.022412
kernel_023,1,Kama,0.857383,2.321175,-0.307365,-0.218039,-0.049928,0.024387,0.002976
kernel_024,1,Kama,-1.978520,1.590765,-0.858143,0.315256,-0.165288,-0.018652,0.013272
kernel_025,1,Kama,-0.001575,1.013266,-0.921351,-0.769525,0.228159,-0.002024,0.005702
kernel_026,1,Kama,1.096521,1.630660,-0.872075,-0.230734,0.130446,-0.042994,0.006309
kernel_027,1,Kama,-1.557282,0.555134,-0.079403,-0.467943,0.145265,-0.023064,0.011754
kernel_028,1,Kama,-1.698042,0.750450,-0.736527,-0.374749,0.123813,-0.018143,0.017269
kernel_029,1,Kama,-0.456619,1.044214,0.057880,-0.185999,0.213816,0.036621,-0.002143
kernel_030,1,Kama,-1.083776,0.122310,-0.269028,-0.264234,0.131597,0.010300,-0.012794
kernel_031,1,Kama,-1.111229,1.579508,-1.323810,0.064694,0.208937,-0.083662,0.011332
kernel_032,1,Kama,0.376703,0.252241,-0.023336,-0.523080,0.041387,0.035281,-0.022566
kernel_033,1,Kama,-0.481413,-0.474555,-0.420315,-0.377828,0.090996,0.181486,-0.035238
kernel_034,1,Kama,-0.604219,1.118506,-0.524867,-0.294694,0.251920,0.021274,0.003690
kernel_035,1,Kama,0.399082,0.915782,-0.510331,-0.011935,0.098885,0.082170,-0.023349
kernel_036,1,Kama,1.162926,1.300219,0.194153,0.202183,0.078063,-0.028313,-0.008129
kernel_037,1,Kama,1.064665,0.295040,-0.382362,-0.194856,-0.116043,0.054387,-0.037859
kernel_038,1,Kama,1.854938,1.088863,0.743955,0.010261,0.047039,0.084419,0.002579
kernel_039,1,Kama,0.140615,0.610292,0.083747,0.013470,0.187666,0.024333,-0.018346
kernel_040,1,Kama,-0.678082,-0.437681,2.301283,-0.277989,0.136912,-0.059377,-0.022385
kernel_041,1,Kama,-0.731657,1.227110,0.122634,0.388224,0.079999,-0.015964,-0.015099
kernel_042,1,Kama,-0.729770,1.347127,-0.081011,0.378775,0.051018,0.011167,-0.018291
kernel_043,1,Kama,-1.180832,2.035590,0.743413,0.137680,0.008733,-0.012266,0.002112
kernel_044,1,Kama,0.741740,-0.426997,0.651293,-0.042874,0.327240,0.135488,-0.022770
kernel_045,1,Kama,0.409356,1.153413,0.721402,-0.040467,0.074514,0.139040,-0.017505
kernel_046,1,Kama,-0.782334,1.684050,-0.474034,-0.089667,0.001835,-0.067392,-0.002549
kernel_047,1,Kama,0.514407,1.656692,-0.495315,-0.289834,0.116087,0.062642,-0.001295
kernel_048,1,Kama,0.179966,0.984982,0.324927,-0.129744,0.021341,0.048878,-0.017783
kernel_049,1,Kama,-0.092600,1.001376,0.029454,-0.226537,0.021735,-0.046854,-0.016636
kernel_050,1,Kama,0.125468,0.688049,-0.806693,-0.099828,-0.002183,0.023194,-0.030224
kernel_051,1,Kama,-0.326314,0.202406,0.381406,-0.309313,0.083202,0.066301,-0.024366
kernel_052,1,Kama,0.392392,-0.215181,1.616336,-0.523913,0.157750,-0.086348,-0.009158
kernel_053,1,Kama,-0.366484,-0.660879,-0.396401,-0.250288,0.118173,-0.087317,-0.039628
kernel_054,1,Kama,-0.335388,0.653453,0.268614,0.095555,0.135146,-0.094076,-0.017413
kernel_055,1,Kama,-0.037674,0.559365,-1.590770,0.072991,0.104914,-0.040938,-0.029873
kernel_056,1,Kama,0.219397,0.640188,-1.022965,0.007219,0.020753,-0.088232,-0.031530
kernel_057,1,Kama,-0.314249,1.117611,0.229941,-0.235310,-0.294440,0.120506,-0.033276
kernel_058,1,Kama,0.206695,2.302470,-0.016612,0.139624,-0.172512,-0.000862,-0.018924
kernel_059,1,Kama,0.529706,1.301822,-0.225608,-0.180967,0.002829,0.082406,-0.014845
kernel_060,1,Kama,-2.400357,1.264669,-1.336848,-0.942092,-0.495428,0.229123,0.008176
kernel_061,1,Kama,-2.749849,1.337276,-0.065511,-0.089996,0.017434,-0.062381,0.051998
kernel_062,1,Kama,-2.630756,1.896778,0.193087,0.428320,0.031376,-0.042196,0.054187
kernel_063,1,Kama,-1.969063,1.626915,0.882954,-0.066272,0.139540,-0.071982,0.032137
kernel_064,1,Kama,-1.257540,0.072293,0.288590,-0.084661,0.080400,-0.010323,-0.015847
kernel_065,1,Kama,-1.557848,1.883005,-0.785227,-0.158789,0.019557,-0.020720,0.020290
kernel_066,1,Kama,-1.616999,1.911193,0.375767,-0.254933,-0.007975,-0.041064,0.018295
kernel_067,1,Kama,-0.215325,1.370316,-0.962016,-0.141239,0.171829,0.015759,-0.004562
kernel_068,1,Kama,-0.554285,0.733452,-0.822020,-0.299460,0.092303,0.068053,-0.015665
kernel_069,1,Kama,-0.198411,1.198158,-0.951716,0.144883,0.076595,-0.091619,-0.020722
kernel_070,1,Kama,-1.790811,-0.167506,-0.694332,-0.251502,0.064997,-0.105948,-0.000815
kernel_071,2,Rosa,2.235491,-1.049686,-0.349307,-0.009363,0.024281,0.058462,-0.035140
kernel_072,2,Rosa,1.485409,-1.214111,-0.076205,-0.138207,-0.132558,0.030934,-0.060921
kernel_073,2,Rosa,1.784613,-0.733019,0.347446,-0.161194,-0.126869,0.050302,-0.035756
kernel_074,2,Rosa,3.530065,0.496301,0.445893,0.332440,-0.093356,0.175680,0.028925
kernel_075,2,Rosa,1.664840,-0.497570,0.070151,0.099481,0.142690,0.015560,-0.027799
kernel_076,2,Rosa,1.270361,-1.211745,0.119904,-0.183929,-0.141478,-0.089654,-0.054991
kernel_077,2,Rosa,1.685126,-0.971591,-0.630377,-0.128694,-0.048693,-0.208086,-0.041286
kernel_078,2,Rosa,4.178009,-1.538921,-0.180192,-0.118331,0.047493,-0.163597,0.059088
kernel_079,2,Rosa,3.192699,-1.720445,0.083512,0.138016,0.271680,-0.050496,0.004967
kernel_080,2,Rosa,1.796426,0.458433,0.002444,0.192027,-0.128580,-0.054220,-0.021371
kernel_081,2,Rosa,1.358284,-1.100892,0.906552,0.274077,0.043490,-0.041865,-0.044498
kernel_082,2,Rosa,2.751847,-0.670144,1.365873,-0.120854,-0.266509,0.044507,-0.001491
kernel_083,2,Rosa,3.648731,-1.207756,0.792711,-0.151029,-0.180163,-0.164298,0.045501
kernel_084,2,Rosa,3.716247,0.177573,-1.327632,0.121588,-0.101801,-0.002214,0.021736
kernel_085,2,Rosa,3.526738,-0.444748,-0.585451,-0.107009,-0.103163,0.032731,0.019269
kernel_086,2,Rosa,2.925798,0.090901,-0.561624,0.489536,0.029564,-0.004006,-0.007248
kernel_087,2,Rosa,3.231009,0.820227,-0.513262,0.447854,-0.189448,-0.056795,0.016238
kernel_088,2,Rosa,3.419721,-1.578218,-1.064695,0.100189,0.098233,0.129681,-0.021689
kernel_089,2,Rosa,4.475697,-1.429933,1.255336,-0.381263,0.137216,0.007133,0.107520
kernel_090,2,Rosa,4.437394,-0.969683,1.045225,0.002865,-0.011845,0.024328,0.083816
kernel_091,2,Rosa,4.147820,-0.371485,-1.367481,0.117542,0.077964,0.003602,0.043035
kernel_092,2,Rosa,3.170391,0.167812,0.195504,0.238725,0.009475,0.063768,0.018300
kernel_093,2,Rosa,3.085150,-0.147951,-0.070648,0.092617,0.187200,-0.061415,0.029547
kernel_094,2,Rosa,2.767082,-0.795684,1.903309,-0.019855,-0.046189,0.077053,0.011678
kernel_095,2,Rosa,2.877028,-2.540226,-1.010337,-0.151818,0.438520,0.061485,-0.032112
kernel_096,2,Rosa,1.772132,-0.830530,-0.570654,0.034681,0.129500,0.087591,-0.037675
kernel_097,2,Rosa,3.484051,-0.629085,-0.260894,0.048269,-0.077669,0.084152,0.011086
kernel_098,2,Rosa,3.358722,-0.570643,-1.502487,0.401216,0.192387,-0.161416,0.003632
kernel_099,2,Rosa,2.656116,-0.785297,-1.166974,0.243305,0.019237,-0.108870,-0.029984
kernel_100,2,Rosa,3.032127,0.123565,-0.804354,0.124926,-0.064718,-0.040807,0.005467
kernel_101,2,Rosa,1.173282,-0.076311,0.651647,0.077394,-0.191375,-0.011804,-0.042560
kernel_102,2,Rosa,2.471946,0.983514,-0.080132,0.311172,-0.218709,-0.073569,-0.005116
kernel_103,2,Rosa,3.305410,-0.332401,0.831444,-0.035690,-0.260649,-0.026142,0.024699
kernel_104,2,Rosa,3.243586,-0.839178,-0.663639,-0.046199,-0.005171,-0.075048,0.005060
kernel_105,2,Rosa,3.173027,-0.435767,-0.216031,0.074273,-0.085283,0.024161,0.005770
kernel_106,2,Rosa,2.899497,0.475629,-0.108960,-0.045623,-0.297868,-0.049148,0.010864
kernel_107,2,Rosa,3.388930,0.362260,0.215732,0.605967,0.021660,0.041001,0.021576
kernel_108,2,Rosa,2.129031,-0.421507,-0.013809,0.090385,-0.047322,-0.056515,-0.020206
