transport,feature_id,n,n_target,n_matched,n_template_families,target_mean_score,matched_mean_score,target_minus_matched_mean,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,tpr_at_1pct_fpr,tpr_at_1pct_fpr_ci_low,tpr_at_1pct_fpr_ci_high
jacobian,30032,204,102,102,51,0.0765678538466055,-0.20450905200057462,0.28107690584718015,0.9566512879661668,0.9155108612072279,0.984719819300269,0.9597644421920288,0.9211366969188652,0.9861954531403728,0.5980392156862745,0.47058823529411764,0.8431372549019608
jacobian,58667,204,102,102,51,1.0305144038946168,-0.13730672168415314,1.16782112557877,1.0,0.9999999999999999,1.0,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0
jacobian,22004,204,102,102,51,0.20584891900630192,0.010205660809707992,0.19564325819659392,0.9294502114571319,0.8910995770857363,0.9627066512879662,0.9375220876791243,0.9051378740330135,0.9660939489245801,0.6274509803921569,0.5196078431372549,0.7450980392156863
jacobian,30686,204,102,102,51,2.084554361508173,-0.2641421781816319,2.3486965396898047,1.0,0.9999999999999999,1.0,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0
jacobian,41533,204,102,102,51,1.4597338775592839,0.19225754816651197,1.267476329392772,0.9999038831218763,0.9994232987312572,1.0,0.99990481629545,0.9994397759103641,1.0,1.0,0.9803921568627451,1.0
jacobian,23893,204,102,102,51,-0.029015848897032293,0.038030851668879095,-0.06704670056591139,0.3546712802768166,0.2620122068435217,0.45030997693194896,0.4054778550967586,0.3707767360519746,0.4718045593415783,0.0,0.0,0.0196078431372549
identity,30032,204,102,102,51,0.019540043500384463,-0.006874388334907445,0.026414431835291907,0.590638216070742,0.48010380622837373,0.6981954056132255,0.565376570114404,0.48380063127421785,0.6779898656770862,0.0196078431372549,0.0,0.0784313725490196
identity,58667,204,102,102,51,0.10228457436988167,0.0073650228772677625,0.09491955149261391,0.7679738562091503,0.6709919261822376,0.8598639946174547,0.7865692863245347,0.6827054970596256,0.8942552689772191,0.049019607843137254,0.0,0.6078431372549019
identity,22004,204,102,102,51,0.046000171831681154,0.016013248659232083,0.02998692317244907,0.6090926566705113,0.5168649077277969,0.7016544117647059,0.6256140992823963,0.547437559222328,0.7265410884894842,0.00980392156862745,0.0,0.24509803921568626
identity,30686,204,102,102,51,0.5809672773614818,-0.09791615619963291,0.6788834335611147,0.9846212995001922,0.9619377162629758,1.0,0.990912836031502,0.9779805941635349,0.9999999999999999,0.9607843137254902,0.9215686274509803,1.0
identity,41533,204,102,102,51,0.3855260399845885,-0.010116729059019218,0.39564276904360773,0.9616493656286044,0.9125336409073435,0.9972126105344098,0.9770758887482565,0.9496822514177826,0.9975764378955613,0.9117647058823529,0.8333333333333334,0.9803921568627451
identity,23893,204,102,102,51,0.012221098353620619,-0.024656556510165625,0.03687765486378625,0.6042868127643214,0.48856209150326796,0.7153979238754326,0.5753117652790011,0.4962730770493303,0.6893717521595398,0.00980392156862745,0.0,0.05906862745095899
random_j_1,30032,204,102,102,51,0.017895806265205108,0.05439231043804765,-0.036496504172842545,0.397923875432526,0.2953647635524798,0.504712129950019,0.447386075602762,0.3950189682622985,0.5363838328854561,0.0,0.0,0.029411764705882353
random_j_1,58667,204,102,102,51,0.12668392029316985,0.10225740555609923,0.024426514737070623,0.5656478277585544,0.45616589773164173,0.672722029988466,0.6364467975002728,0.5419942383175004,0.731947871677075,0.17647058823529413,0.06862745098039216,0.28431372549019607
random_j_1,22004,204,102,102,51,0.0069540683499665235,-0.029941334850246124,0.036895403200212645,0.6212995001922338,0.512879661668589,0.727508650519031,0.6070642591833709,0.5050804017506618,0.7412760790076006,0.0196078431372549,0.0,0.16666666666666666
random_j_1,30686,204,102,102,51,-0.1325527972235874,0.11508951033237298,-0.2476423075559604,0.014801999231064972,0.0024029219530949638,0.03200692041522492,0.3102704618573336,0.3112315534715087,0.3152102892188768,0.0,0.0,0.0
random_j_1,41533,204,102,102,51,0.07927941379831265,-0.04302669220544653,0.12230610600375919,0.8237216455209534,0.7472102076124568,0.89119569396386,0.8033127311428057,0.7163177721633603,0.8841958560627274,0.16666666666666666,0.0784313725490196,0.35294117647058826
random_j_1,23893,204,102,102,51,0.19401983206397763,0.049665014034961166,0.14435481802901645,0.8870626682045367,0.8162245290272971,0.9450211457131872,0.8819565788024545,0.8053017677094606,0.9475187391657058,0.16666666666666666,0.06862745098039216,0.7156862745098039
random_j_2,30032,204,102,102,51,0.11057259257444564,-0.07073203686113451,0.18130462943558015,0.9439638600538255,0.904171472510573,0.9747212610534409,0.9497930345336093,0.9165905925196596,0.9770447063701095,0.696078431372549,0.4215686274509804,0.8137254901960784
random_j_2,58667,204,102,102,51,0.026528737001011476,0.14140320694137948,-0.114874469940368,0.145520953479431,0.07026143790849676,0.2368343906189925,0.3340154750805246,0.31992174814615076,0.3824109867790372,0.0,0.0,0.0196078431372549
random_j_2,22004,204,102,102,51,-0.056475567768382674,-0.061647721812786424,0.00517215404440375,0.4946174548250673,0.3922505767012687,0.5948673587081892,0.5322984174263068,0.4492348674624561,0.6300144237232032,0.06862745098039216,0.00980392156862745,0.14705882352941177
random_j_2,30686,204,102,102,51,0.14458181788944,0.025614165915541498,0.1189676519738985,0.8582276047673971,0.7884467512495195,0.9206074586697424,0.8521283472473913,0.7830737239659205,0.9269076275576239,0.09803921568627451,0.058823529411764705,0.5686274509803921
random_j_2,41533,204,102,102,51,-0.03805963092885327,-0.026700507867716106,-0.011359123061137164,0.4959630911188005,0.3669718377547097,0.6241830065359477,0.4824443969774242,0.41403692813408133,0.5998284310062595,0.0,0.0,0.0196078431372549
