dataset,model,bin_index,lower_bound_inclusive,upper_bound,upper_bound_inclusive,count,positive_count,mean_predicted_probability,observed_positive_fraction
htru2,dummy_prior,0,0,0.1,false,3580,328,0.0915630674675,0.0916201117318
htru2,dummy_prior,1,0.1,0.2,false,0,0,,
htru2,dummy_prior,2,0.2,0.3,false,0,0,,
htru2,dummy_prior,3,0.3,0.4,false,0,0,,
htru2,dummy_prior,4,0.4,0.5,false,0,0,,
htru2,dummy_prior,5,0.5,0.6,false,0,0,,
htru2,dummy_prior,6,0.6,0.7,false,0,0,,
htru2,dummy_prior,7,0.7,0.8,false,0,0,,
htru2,dummy_prior,8,0.8,0.9,false,0,0,,
htru2,dummy_prior,9,0.9,1,true,0,0,,
htru2,logistic_regression,0,0,0.1,false,3204,31,0.0123227776995,0.00967540574282
htru2,logistic_regression,1,0.1,0.2,false,51,10,0.136292550375,0.196078431373
htru2,logistic_regression,2,0.2,0.3,false,15,7,0.250187633443,0.466666666667
htru2,logistic_regression,3,0.3,0.4,false,13,4,0.347592094469,0.307692307692
htru2,logistic_regression,4,0.4,0.5,false,11,9,0.442855517808,0.818181818182
htru2,logistic_regression,5,0.5,0.6,false,9,7,0.555656028822,0.777777777778
htru2,logistic_regression,6,0.6,0.7,false,16,12,0.641276546904,0.75
htru2,logistic_regression,7,0.7,0.8,false,14,11,0.751002764965,0.785714285714
htru2,logistic_regression,8,0.8,0.9,false,26,21,0.855672093011,0.807692307692
htru2,logistic_regression,9,0.9,1,true,221,216,0.990127558287,0.977375565611
htru2,random_forest,0,0,0.1,false,3189,30,0.00900675692037,0.00940733772342
htru2,random_forest,1,0.1,0.2,false,36,5,0.145787139845,0.138888888889
htru2,random_forest,2,0.2,0.3,false,24,3,0.249501157642,0.125
htru2,random_forest,3,0.3,0.4,false,15,8,0.350633865226,0.533333333333
htru2,random_forest,4,0.4,0.5,false,12,5,0.462945462394,0.416666666667
htru2,random_forest,5,0.5,0.6,false,17,9,0.555649757921,0.529411764706
htru2,random_forest,6,0.6,0.7,false,20,13,0.653311681289,0.65
htru2,random_forest,7,0.7,0.8,false,11,7,0.746404630371,0.636363636364
htru2,random_forest,8,0.8,0.9,false,28,24,0.862338980036,0.857142857143
htru2,random_forest,9,0.9,1,true,228,224,0.979258322496,0.982456140351
rice,dummy_prior,0,0,0.1,false,0,0,,
rice,dummy_prior,1,0.1,0.2,false,0,0,,
rice,dummy_prior,2,0.2,0.3,false,0,0,,
rice,dummy_prior,3,0.3,0.4,false,0,0,,
rice,dummy_prior,4,0.4,0.5,false,762,326,0.42782152231,0.42782152231
rice,dummy_prior,5,0.5,0.6,false,0,0,,
rice,dummy_prior,6,0.6,0.7,false,0,0,,
rice,dummy_prior,7,0.7,0.8,false,0,0,,
rice,dummy_prior,8,0.8,0.9,false,0,0,,
rice,dummy_prior,9,0.9,1,true,0,0,,
rice,logistic_regression,0,0,0.1,false,370,15,0.0159469947097,0.0405405405405
rice,logistic_regression,1,0.1,0.2,false,28,4,0.149661492884,0.142857142857
rice,logistic_regression,2,0.2,0.3,false,19,6,0.251663276791,0.315789473684
rice,logistic_regression,3,0.3,0.4,false,14,5,0.359039893704,0.357142857143
rice,logistic_regression,4,0.4,0.5,false,16,9,0.445068231657,0.5625
rice,logistic_regression,5,0.5,0.6,false,15,7,0.534877232204,0.466666666667
rice,logistic_regression,6,0.6,0.7,false,14,10,0.642716350211,0.714285714286
rice,logistic_regression,7,0.7,0.8,false,22,18,0.751305484659,0.818181818182
rice,logistic_regression,8,0.8,0.9,false,31,26,0.8534312351,0.838709677419
rice,logistic_regression,9,0.9,1,true,233,226,0.980813530263,0.969957081545
rice,random_forest,0,0,0.1,false,347,11,0.0129372871975,0.0317002881844
rice,random_forest,1,0.1,0.2,false,49,10,0.132474629106,0.204081632653
rice,random_forest,2,0.2,0.3,false,17,5,0.243570337137,0.294117647059
rice,random_forest,3,0.3,0.4,false,18,4,0.348809050694,0.222222222222
rice,random_forest,4,0.4,0.5,false,19,11,0.449169028946,0.578947368421
rice,random_forest,5,0.5,0.6,false,10,8,0.552915886074,0.8
rice,random_forest,6,0.6,0.7,false,14,10,0.655044895275,0.714285714286
rice,random_forest,7,0.7,0.8,false,32,21,0.75977091813,0.65625
rice,random_forest,8,0.8,0.9,false,24,20,0.860132695149,0.833333333333
rice,random_forest,9,0.9,1,true,232,226,0.978258891904,0.974137931034
